      Tamanho      Código                                                                                                                                                                                                                          Descrição
924       1.0      VD4015                                                                                                                          Tipo de remuneração habitualmente recebida no trabalho principal para pessoas de 14 anos ou mais de idade
927       8.0      VD4016                                           Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)
929       8.0      VD4017                                            Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)
931       1.0      VD4018                                                                                                                          Tipo de remuneração habitualmente recebida em todos os trabalhos para pessoas de 14 anos ou mais de idade
934       8.0      VD4019                                            Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)
936       8.0      VD4020                                             Rendimento mensal efetivo de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)
938       1.0      VD4023                                                                                                         Motivo pelo qual não procurou trabalho ou não gostaria de ter trabalhado ou não estava disponível para iniciar um trabalho
945       1.0      VD4030                                                                                                         Motivo pelo qual não procurou trabalho ou não gostaria de ter trabalhado ou não estava disponível para iniciar um trabalho
952       3.0      VD4031                                                                                                                          Horas habitualmente trabalhadas por semana em todos os trabalhos para pessoas de 14 anos ou mais de idade
954       3.0      VD4032                                                                                                              Horas efetivamente trabalhadas na semana de referência no trabalho principal para pessoas de 14 anos ou mais de idade
956       3.0      VD4033                                                                                                             Horas efetivamente trabalhadas na semana de referência no trabalho secundário para pessoas de 14 anos ou mais de idade
958       3.0      VD4034                                                                                                               Horas efetivamente trabalhadas na semana de referência nos outros trabalhos para pessoas de 14 anos ou mais de idade
960       3.0      VD4035                                                                                                              Horas efetivamente trabalhadas na semana de referência em todos os trabalhos para pessoas de 14 anos ou mais de idade
962       1.0      VD4036                                                                                                                Faixa das horas habitualmente trabalhadas por semana no trabalho principal para pessoas de 14 anos ou mais de idade
968       1.0      VD4037                                                                                                   Faixa das horas efetivamente trabalhadas na semana de referência no trabalho principal  para pessoas de 14 anos ou mais de idade
975      15.0    V1028001                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
976      15.0    V1028002                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
977      15.0    V1028003                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
978      15.0    V1028004                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
979      15.0    V1028005                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
980      15.0    V1028006                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
981      15.0    V1028007                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
982      15.0    V1028008                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
983      15.0    V1028009                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
984      15.0    V1028010                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
985      15.0    V1028011                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
986      15.0    V1028012                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
987      15.0    V1028013                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
988      15.0    V1028014                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
989      15.0    V1028015                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
990      15.0    V1028016                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
991      15.0    V1028017                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
992      15.0    V1028018                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
993      15.0    V1028019                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
994      15.0    V1028020                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
995      15.0    V1028021                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
996      15.0    V1028022                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
997      15.0    V1028023                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
998      15.0    V1028024                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
999      15.0    V1028025                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1000     15.0    V1028026                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1001     15.0    V1028027                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1002     15.0    V1028028                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1003     15.0    V1028029                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1004     15.0    V1028030                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1005     15.0    V1028031                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1006     15.0    V1028032                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1007     15.0    V1028033                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1008     15.0    V1028034                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1009     15.0    V1028035                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
